cohort_month,cash_request_id,status,cash_request_amount
2020-05,1625.0,[2 2 4],300.0
2020-05,1655.0,[3 3 3],300.0
2020-05,1880.0,[4 4 4],300.0
2020-05,2118.0,[3 3],200.0
2020-05,2265.0,3,100.0
2020-05,2289.0,3,100.0
2020-05,2403.0,3,100.0
2020-06,2457.0,[3 3],200.0
2020-06,2465.0,[3 3],100.0
2020-06,2507.0,[3 3],200.0
2020-06,2554.0,[4 4 4],300.0
2020-06,2560.0,[4 4 2],300.0
2020-06,2583.0,[2 4 4],300.0
2020-06,2590.0,[2 2],200.0
2020-06,2624.0,3,100.0
2020-06,2628.0,3,100.0
2020-06,2634.0,[3 3],200.0
2020-06,2640.0,3,100.0
2020-06,2641.0,[2 2 4],300.0
2020-06,2654.0,[4 2 2],60.0
2020-06,2676.0,3,100.0
2020-06,2682.0,[4 4],200.0
2020-06,2705.0,[3 3],200.0
2020-06,2713.0,3,50.0
2020-06,2738.0,3,100.0
2020-06,2739.0,[2 2 2 4],400.0
2020-06,2741.0,[4 4],200.0
2020-06,2785.0,[3 3],200.0
2020-06,2793.0,[3 3 3],300.0
2020-06,2795.0,[3 3 3],300.0
2020-06,2811.0,[3 2],200.0
2020-06,2822.0,[4 4 4],300.0
2020-06,2852.0,[4 2 2],300.0
2020-06,2913.0,[nan  4.  4.],150.0
2020-06,2943.0,[4 4],200.0
2020-06,2945.0,[3 3 3],300.0
2020-06,3047.0,[2 4],200.0
2020-06,3053.0,[4 4 4],300.0
2020-06,3061.0,[2 4 4],300.0
2020-06,3068.0,3,100.0
2020-06,3090.0,[3 3 3],300.0
2020-06,3094.0,[3 3 3],300.0
2020-06,3117.0,[4 4 4],300.0
2020-06,3181.0,[3 3 3],150.0
2020-06,3183.0,[3 3],200.0
2020-06,3195.0,[4 4 4],300.0
2020-06,3221.0,3,100.0
2020-06,3229.0,[3 3 4],300.0
2020-06,3235.0,3,100.0
2020-06,3275.0,[3 3 3],300.0
2020-06,3352.0,[4 4],100.0
2020-06,3353.0,3,50.0
2020-06,3360.0,[3 3 2],180.0
2020-06,3365.0,,100.0
2020-06,3404.0,[2 4 4],300.0
2020-06,3433.0,[3 3 3],300.0
2020-06,3504.0,3,100.0
2020-06,3593.0,[2 4 4],150.0
2020-06,3599.0,[4 4 4],300.0
2020-06,3611.0,[4 4 4],300.0
2020-06,3625.0,[4 4 2 2],400.0
2020-06,3635.0,[2 4],200.0
2020-06,3676.0,3,100.0
2020-06,3705.0,[2 4 4],300.0
2020-06,3710.0,[3 3 3],300.0
2020-06,3737.0,3,100.0
2020-06,3742.0,[4 4 4],300.0
2020-06,3811.0,[3 3],140.0
2020-06,3857.0,[4 4 4],300.0
2020-06,3877.0,[3 3],200.0
2020-06,3898.0,[4 4 4],300.0
2020-06,3901.0,[4 4],200.0
2020-06,3999.0,[2 4 4],300.0
2020-06,4004.0,[3 3 3],300.0
2020-06,4009.0,[3 3 3],300.0
2020-06,4019.0,[3 3 3],300.0
2020-06,4065.0,[3 3 3],300.0
2020-06,4080.0,3,100.0
2020-06,4083.0,[4 2 4],300.0
2020-06,4086.0,3,100.0
2020-06,4223.0,[2 2 4],180.0
2020-06,4226.0,3,100.0
2020-06,4230.0,3,100.0
2020-06,4239.0,[3 3],200.0
2020-06,4257.0,[3 3],200.0
2020-06,4261.0,[3 3],200.0
2020-06,4362.0,[3 3],200.0
2020-06,4367.0,[4 4 2],300.0
2020-06,4474.0,[4 4 4],300.0
2020-06,4489.0,[3 3],200.0
2020-06,4563.0,3,100.0
2020-06,4680.0,[4 4],200.0
2020-06,4708.0,[4 2 4],300.0
2020-06,4797.0,3,100.0
2020-06,4899.0,[3 3 3],150.0
2020-06,4908.0,3,100.0
2020-06,4919.0,3,50.0
2020-06,4920.0,[4 2 4],300.0
2020-06,4981.0,[3 3],200.0
2020-06,4997.0,[3 3],200.0
2020-06,5006.0,[3 3],200.0
2020-06,5110.0,3,100.0
2020-06,5122.0,3,50.0
2020-06,5123.0,[2 2 4],300.0
2020-06,5379.0,3,100.0
2020-06,5462.0,[3 3 3],150.0
2020-06,5523.0,2,100.0
2020-06,5598.0,3,100.0
2020-06,5603.0,[3 2],200.0
2020-06,5625.0,[3 3],200.0
2020-06,5809.0,[4 2],200.0
2020-06,5868.0,3,50.0
2020-06,5971.0,[3 3],200.0
2020-06,5988.0,3,100.0
2020-06,6026.0,4,100.0
